Year,geo_name,geo_code,benes_total_cnt,total_std_payment_per_capita,total_payment_per_capita,er_visits_per_1000,ip_stays_per_1000,op_visits_per_1000,bene_avg_age,bene_dual_pct,bene_avg_risk_score,rowid
2023,AK,02,120280.0,9081.88,11429.16,539.6027,168.097,4355.6164,72.0,0.2191,0.82,1
2023,AK,02,11464.0,12375.43,15709.69,1108.1707,259.6096,5430.4689,51.0,0.7356,1.13,2
2023,AK,02,108816.0,8716.94,10954.86,476.6025,157.9569,4236.5173,74.0,0.1619,0.78,3
2023,AL,01,1151244.0,12787.15,12013.57,597.2328,245.0337,3541.4439,72.0,0.1384,1.02,4
2023,AL,01,197390.0,11425.72,10601.39,801.4553,241.7343,3299.7206,51.0,0.4579,1.1,5
2023,AL,01,953854.0,13002.17,12236.61,564.9779,245.5548,3579.6218,76.0,0.088,1.01,6
2023,AR,05,699823.0,12119.84,11481.67,590.7767,226.1458,4382.8355,73.0,0.1564,1.0,7
2023,AR,05,123190.0,11296.4,10649.04,788.399,244.5411,3843.3983,51.0,0.5525,1.07,8
2023,AR,05,576633.0,12231.44,11594.52,563.9934,223.6527,4455.9445,76.0,0.1027,0.99,9
2023,AZ,04,1528056.0,11789.65,12341.14,518.6079,187.5425,2739.0876,74.0,0.0837,0.92,10
2023,AZ,04,138451.0,12796.9,13381.43,798.1894,259.6204,3261.4252,51.0,0.5366,1.25,11
2023,AZ,04,1389605.0,11731.56,12281.15,502.4859,183.3861,2708.9671,75.0,0.0576,0.9,12
2023,CA,06,7080940.0,12124.53,15432.6,571.147,212.4699,3460.3103,73.0,0.306,1.04,13
2023,CA,06,568921.0,14946.38,19158.69,1003.2476,294.3159,4120.4583,51.0,0.7547,1.33,14
2023,CA,06,6512019.0,11790.59,14991.66,520.0128,202.7844,3382.1894,76.0,0.2529,1.0,15
2023,CO,08,1055744.0,10671.45,11252.17,533.1647,169.1453,4604.3978,73.0,0.1309,0.89,16
2023,CO,08,85365.0,12455.27,13157.34,964.1413,235.1927,4669.0057,50.0,0.6706,1.15,17
2023,CO,08,970379.0,10512.69,11082.61,494.808,163.2671,4598.6478,75.0,0.0828,0.87,18
2023,CT,09,757873.0,12479.9,14779.78,698.3817,250.7266,5381.1408,74.0,0.2486,1.07,19
2023,CT,09,72858.0,12767.53,14961.44,1147.0265,286.3365,5789.9033,50.0,0.7839,1.15,20
2023,CT,09,685015.0,12444.17,14757.22,642.6572,246.3036,5330.37,77.0,0.1821,1.06,21
2023,DC,11,99522.0,11651.62,14030.98,675.6674,232.9888,3325.879,73.0,0.3708,1.08,22
2023,DC,11,12411.0,15012.36,18596.88,1355.5421,384.3125,4603.2707,50.0,0.8863,1.49,23
2023,DC,11,87111.0,11129.9,13322.16,570.1222,209.4969,3127.574,76.0,0.2907,1.02,24
2023,DE,10,248282.0,11811.22,12836.35,549.236,204.4313,4737.2642,73.0,0.1204,0.98,25
2023,DE,10,24515.0,13854.88,14939.22,972.5279,287.3475,4803.2591,52.0,0.613,1.28,26
2023,DE,10,223767.0,11638.64,12658.78,513.4907,197.4294,4731.6912,75.0,0.0788,0.96,27
2023,FL,12,5250841.0,13686.37,13780.24,612.4693,258.5928,3240.9452,74.0,0.1119,1.11,28
2023,FL,12,495990.0,14697.85,14916.95,990.4884,342.6153,3129.015,51.0,0.5505,1.33,29
2023,FL,12,4754851.0,13607.37,13691.45,582.9426,252.0299,3249.688,76.0,0.0776,1.09,30
2023,GA,13,1986659.0,11788.11,11916.26,558.702,221.4395,3663.1832,73.0,0.1183,0.99,31
2023,GA,13,260673.0,13054.71,13122.19,864.5679,268.2727,3645.7981,51.0,0.4755,1.29,32
2023,GA,13,1725986.0,11643.52,11778.59,523.7849,216.0931,3665.1678,75.0,0.0775,0.96,33
2023,HI,15,313961.0,8202.8,10041.99,490.7697,144.0821,3262.8127,75.0,0.0947,0.93,34
2023,HI,15,20305.0,11792.65,14257.88,875.7406,211.3232,3039.1705,52.0,0.4946,1.57,35
2023,HI,15,293656.0,7975.8,9775.4,466.4266,139.8302,3276.9545,76.0,0.0694,0.89,36
2023,IA,19,703006.0,10706.99,10677.49,538.1505,185.2837,7060.0955,74.0,0.1068,0.91,37
2023,IA,19,74251.0,10834.29,10596.34,856.2109,224.6705,6663.3937,50.0,0.6839,1.08,38
2023,IA,19,628755.0,10696.61,10684.1,512.225,182.0732,7092.4311,76.0,0.0598,0.89,39
2023,ID,16,399056.0,9989.49,10165.5,505.1226,152.5496,6859.7802,73.0,0.1263,0.87,40
2023,ID,16,41654.0,9949.05,9967.71,746.3318,185.0606,6114.5392,50.0,0.6203,0.98,41
2023,ID,16,357402.0,9993.78,10186.47,479.5507,149.103,6938.7873,75.0,0.0739,0.86,42
2023,IL,17,2469323.0,12443.81,13143.56,607.3077,252.2342,5670.2434,74.0,0.152,1.03,43
2023,IL,17,254074.0,14326.72,15252.22,991.8756,320.0377,6035.3723,52.0,0.638,1.32,44
2023,IL,17,2215249.0,12258.25,12935.75,569.4092,245.5523,5634.2606,76.0,0.1041,1.0,45
2023,IN,18,1412597.0,12043.14,12019.98,618.6538,234.2772,5829.0335,73.0,0.1574,0.99,46
2023,IN,18,185817.0,12290.34,12142.7,981.5767,277.127,5464.6625,50.0,0.7066,1.17,47
2023,IN,18,1226780.0,12013.62,12005.33,575.3099,229.1596,5872.5503,75.0,0.0918,0.97,48
2023,KS,20,604506.0,12390.06,12197.75,559.2601,214.5135,5941.5196,73.0,0.0995,0.94,49
2023,KS,20,65715.0,12977.04,12662.17,939.1127,252.8642,5951.8273,51.0,0.5348,1.17,50
2023,KS,20,538791.0,12337.18,12155.91,525.0401,211.0586,5940.591,75.0,0.0602,0.92,51
2023,KY,21,1019526.0,11852.83,11556.11,626.0605,236.0568,4930.9388,72.0,0.1627,1.0,52
2023,KY,21,174986.0,10561.18,10271.06,813.3777,229.4684,4458.9185,51.0,0.5776,1.03,53
2023,KY,21,844540.0,12056.01,11758.25,596.5958,237.0932,5005.187,75.0,0.0974,0.99,54
2023,LA,22,966338.0,13805.14,13138.85,652.344,241.0904,5612.038,72.0,0.199,1.05,55
2023,LA,22,148960.0,14760.36,14096.47,1021.0202,302.1044,6688.2193,51.0,0.6577,1.26,56
2023,LA,22,817378.0,13677.4,13010.79,603.0445,232.9317,5468.1308,75.0,0.1376,1.02,57
2023,MA,25,1491384.0,11728.55,13851.53,631.8619,258.9544,6831.32,73.0,0.2322,1.02,58
2023,MA,25,176496.0,11546.87,13602.74,956.406,285.2174,7030.1288,51.0,0.8411,1.09,59
2023,MA,25,1314888.0,11751.53,13882.99,590.8231,255.6334,6806.1805,76.0,0.1552,1.01,60
2023,MD,24,1174516.0,11851.81,14277.64,553.4431,216.2323,2189.5644,73.0,0.1696,0.99,61
2023,MD,24,115870.0,14187.7,17975.0,1008.9322,308.7757,3432.6072,51.0,0.6439,1.28,62
2023,MD,24,1058646.0,11594.32,13870.07,503.2325,206.0308,2052.5381,76.0,0.1173,0.96,63
2023,ME,23,387113.0,9841.2,10432.03,677.5853,177.8175,8069.5839,72.0,0.2657,0.93,64
2023,ME,23,51553.0,9539.97,9965.19,919.7445,170.9479,7689.9996,50.0,0.7548,0.91,65
2023,ME,23,335560.0,9898.07,10520.16,631.8686,179.1144,8141.2447,76.0,0.1733,0.93,66
2023,MI,26,2305486.0,11779.79,12071.35,639.6665,243.7777,6135.4739,72.0,0.1927,1.04,67
2023,MI,26,305057.0,11870.67,11991.51,973.2631,268.5289,5703.2427,51.0,0.6495,1.19,68
2023,MI,26,2000429.0,11764.95,12084.39,585.1619,239.7337,6206.0938,75.0,0.1181,1.02,69
2023,MN,27,1172156.0,11171.58,11990.3,656.1483,216.8147,6167.5428,72.0,0.1796,1.02,70
2023,MN,27,114664.0,12461.74,13339.56,1108.824,266.761,6675.3775,50.0,0.7454,1.19,71
2023,MN,27,1057492.0,10930.89,11738.58,571.6977,207.4968,6072.8018,76.0,0.074,0.98,72
2023,MO,29,1367107.0,11954.26,11886.82,606.4226,241.0538,6172.0732,73.0,0.1271,1.01,73
2023,MO,29,188688.0,12981.82,12993.35,930.1155,291.3361,5848.3238,51.0,0.5563,1.24,74
2023,MO,29,1178419.0,11818.89,11741.05,563.7799,234.4297,6214.7233,75.0,0.0706,0.99,75
2023,MS,28,660913.0,13473.86,12679.32,632.4045,235.0889,5154.5093,72.0,0.1778,1.02,76
2023,MS,28,112808.0,14145.77,13370.27,934.6416,261.5276,5233.9835,52.0,0.5925,1.29,77
2023,MS,28,548105.0,13378.66,12581.42,589.5823,231.343,5143.2491,75.0,0.1191,0.99,78
2023,MT,30,267343.0,9197.82,9612.1,506.5187,157.7351,7172.2535,73.0,0.1299,0.83,79
2023,MT,30,24849.0,10057.37,10529.87,910.4308,199.8299,6925.8787,51.0,0.6713,1.0,80
2023,MT,30,242494.0,9119.41,9528.39,469.6753,153.8954,7194.7269,75.0,0.0805,0.81,81
2023,NC,37,2273250.0,10890.51,11108.95,565.0207,207.3556,3701.1228,73.0,0.1257,1.0,82
2023,NC,37,288993.0,11075.03,11277.46,891.7255,241.4919,3720.1869,50.0,0.565,1.19,83
2023,NC,37,1984257.0,10868.94,11089.25,526.8302,203.3652,3698.8943,75.0,0.0743,0.97,84
2023,ND,38,150975.0,10602.41,11011.15,541.5311,197.3036,8685.2794,73.0,0.1325,0.93,85
2023,ND,38,14220.0,11045.22,11276.26,954.6708,248.1113,8417.1963,50.0,0.6561,1.16,86
2023,ND,38,136755.0,10556.33,10983.57,498.5465,192.0174,8713.1717,75.0,0.078,0.9,87
2023,NE,31,393267.0,11555.9,11835.85,504.2119,204.8572,6093.3718,74.0,0.0977,0.92,88
2023,NE,31,40029.0,11804.03,11906.35,911.9197,267.3777,6170.3262,49.0,0.6359,1.18,89
2023,NE,31,353238.0,11537.27,11830.56,473.6061,200.1639,6087.595,75.0,0.0573,0.91,90
2023,NH,33,350662.0,10026.44,11066.17,584.5925,196.558,7905.6847,73.0,0.123,0.87,91
2023,NH,33,43398.0,9851.74,10787.91,910.4812,221.4864,7098.666,50.0,0.5915,0.92,92
2023,NH,33,307264.0,10047.9,11100.35,544.5613,193.4959,8004.8163,76.0,0.0655,0.86,93
2023,NJ,34,1805401.0,12836.62,14809.34,558.387,244.7105,3504.0232,74.0,0.124,1.05,94
2023,NJ,34,170747.0,14169.58,16369.64,942.1234,305.5876,4338.4797,52.0,0.4982,1.26,95
2023,NJ,34,1634654.0,12710.34,14661.53,522.0344,238.9434,3424.9723,76.0,0.0886,1.03,96
2023,NM,35,474322.0,9792.86,10183.52,557.5229,168.1473,5376.6846,73.0,0.1822,0.88,97
2023,NM,35,57151.0,11301.38,11736.54,874.683,214.1698,5465.3616,51.0,0.7048,1.19,98
2023,NM,35,417171.0,9622.8,10008.44,521.7685,162.959,5366.6878,75.0,0.1232,0.84,99
2023,NV,32,614468.0,12324.87,13620.57,589.6886,220.7185,2558.2221,73.0,0.153,0.95,100
2023,NV,32,57798.0,15885.63,17621.35,1114.311,367.1187,2718.999,51.0,0.5899,1.28,101
2023,NV,32,556670.0,11976.05,13228.64,538.2947,206.3766,2542.4718,75.0,0.1102,0.92,102
2023,NY,36,4003915.0,12605.94,15552.5,567.9798,248.3995,4197.3972,74.0,0.2253,1.07,103
