Year,geo_name,geo_code,benes_total_cnt,total_std_payment_per_capita,total_payment_per_capita,rowid
2014,AK,02,84573.0,6523.5,8602.11,1
2014,AK,02,13294.0,8173.27,10572.99,2
2014,AK,02,71279.0,6204.12,8220.55,3
2014,AL,01,994352.0,9365.32,8655.37,4
2014,AL,01,238551.0,9223.15,8561.9,5
2014,AL,01,755801.0,9406.42,8682.4,6
2014,AR,05,614341.0,8745.69,8280.93,7
2014,AR,05,142590.0,8330.85,7972.53,8
2014,AR,05,471751.0,8858.21,8364.58,9
2014,AZ,04,1147495.0,8302.37,8889.6,10
2014,AZ,04,162026.0,9817.1,10610.39,11
2014,AZ,04,985469.0,8115.94,8677.81,12
2014,CA,06,5760925.0,8649.18,10781.54,13
2014,CA,06,762854.0,10072.7,12667.65,14
2014,CA,06,4998071.0,8374.56,10417.67,15
2014,CO,08,794491.0,7818.14,8269.36,16
2014,CO,08,108576.0,8871.31,9449.24,17
2014,CO,08,685915.0,7617.26,8044.31,18
2014,CT,09,650756.0,9322.47,11287.89,19
2014,CT,09,86341.0,10348.41,12453.28,20
2014,CT,09,564415.0,9147.23,11088.83,21
2014,DC,11,90589.0,9673.07,11608.96,22
2014,DC,11,15939.0,12784.19,15604.89,23
2014,DC,11,74650.0,8808.86,10498.96,24
2014,DE,10,182764.0,9177.79,10093.06,25
2014,DE,10,28182.0,10911.98,11973.5,26
2014,DE,10,154582.0,8878.27,9768.28,27
2014,FL,12,4081432.0,10866.29,10969.19,28
2014,FL,12,563109.0,12206.78,12450.26,29
2014,FL,12,3518323.0,10658.53,10739.64,30
2014,GA,13,1549082.0,9280.81,9166.06,31
2014,GA,13,295106.0,10969.97,10866.97,32
2014,GA,13,1253976.0,8868.98,8751.36,33
2014,HI,15,249743.0,6004.77,7248.77,34
2014,HI,15,25303.0,9056.89,10742.26,35
2014,HI,15,224440.0,5612.64,6799.93,36
2014,IA,19,589604.0,7862.27,8035.26,37
2014,IA,19,80565.0,8573.7,8768.43,38
2014,IA,19,509039.0,7747.27,7916.75,39
2014,ID,16,284359.0,7689.05,7857.83,40
2014,ID,16,44162.0,8347.46,8445.34,41
2014,ID,16,240197.0,7552.91,7736.36,42
2014,IL,17,2132736.0,9545.61,10086.55,43
2014,IL,17,311175.0,10809.69,11519.51,44
2014,IL,17,1821561.0,9337.43,9850.56,45
2014,IN,18,1183440.0,9370.22,9442.76,46
2014,IN,18,211969.0,10202.27,10388.02,47
2014,IN,18,971471.0,9180.72,9227.47,48
2014,KS,20,502551.0,9018.68,8850.01,49
2014,KS,20,76879.0,9860.12,9649.42,50
2014,KS,20,425672.0,8862.92,8702.04,51
2014,KY,21,888198.0,9102.52,8891.39,52
2014,KY,21,214988.0,8642.7,8565.95,53
2014,KY,21,673210.0,9266.97,9007.78,54
2014,LA,22,810349.0,10997.31,10514.94,55
2014,LA,22,171921.0,11545.11,11267.17,56
2014,LA,22,638428.0,10831.02,10286.6,57
2014,MA,25,1248444.0,9053.59,10865.59,58
2014,MA,25,215052.0,9132.81,10979.07,59
2014,MA,25,1033392.0,9035.23,10839.3,60
2014,MD,24,953240.0,9393.96,11314.67,61
2014,MD,24,135208.0,12084.93,14875.26,62
2014,MD,24,818032.0,8936.65,10709.58,63
2014,ME,23,314040.0,7872.33,8260.67,64
2014,ME,23,61681.0,7649.0,7977.53,65
2014,ME,23,252359.0,7938.35,8344.37,66
2014,MI,26,1948340.0,9767.46,10288.64,67
2014,MI,26,366383.0,9962.26,10513.41,68
2014,MI,26,1581957.0,9713.35,10226.21,69
2014,MN,27,933686.0,7943.79,8759.82,70
2014,MN,27,131146.0,8695.16,9614.13,71
2014,MN,27,802540.0,7684.26,8464.73,72
2014,MO,29,1169488.0,9183.87,9098.97,73
2014,MO,29,224353.0,10113.95,10137.95,74
2014,MO,29,945135.0,8948.06,8835.54,75
2014,MS,28,575816.0,10188.02,9612.3,76
2014,MS,28,137935.0,10586.6,10141.17,77
2014,MS,28,437881.0,10063.44,9447.01,78
2014,MT,30,204770.0,6898.79,7254.29,79
2014,MT,30,29578.0,7407.27,7739.15,80
2014,MT,30,175192.0,6812.77,7172.27,81
2014,NC,37,1804276.0,8697.62,8805.07,82
2014,NC,37,337535.0,9767.32,9987.13,83
2014,NC,37,1466741.0,8425.13,8503.95,84
2014,ND,38,121804.0,7982.74,8147.38,85
2014,ND,38,14972.0,8748.52,8855.35,86
2014,ND,38,106832.0,7868.56,8041.82,87
2014,NE,31,321670.0,8493.31,8738.85,88
2014,NE,31,43675.0,9616.05,9869.02,89
2014,NE,31,277995.0,8326.56,8570.99,90
2014,NH,33,269116.0,7829.93,8689.49,91
2014,NH,33,48139.0,7779.86,8647.5,92
2014,NH,33,220977.0,7840.34,8698.23,93
2014,NJ,34,1540510.0,9886.37,11447.5,94
2014,NJ,34,208249.0,11014.27,12764.01,95
2014,NJ,34,1332261.0,9712.38,11244.41,96
2014,NM,35,378861.0,7273.58,7768.34,97
2014,NM,35,66660.0,7871.86,8492.81,98
2014,NM,35,312201.0,7129.53,7593.9,99
2014,NV,32,456431.0,9025.07,9996.92,100
2014,NV,32,64718.0,11148.84,12347.34,101
2014,NV,32,391713.0,8631.14,9560.95,102
2014,NY,36,3443701.0,9174.02,11217.26,103
2014,NY,36,544349.0,9312.72,11250.96,104
2014,NY,36,2899352.0,9143.43,11209.83,105
2014,OH,39,2219993.0,9753.61,9859.92,106
2014,OH,39,372748.0,10447.62,10684.74,107
2014,OH,39,1847245.0,9571.32,9643.27,108
2014,OK,40,700693.0,9605.74,9236.44,109
2014,OK,40,132274.0,10310.62,10072.13,110
2014,OK,40,568419.0,9441.52,9041.75,111
2014,OR,41,764398.0,6871.67,7701.17,112
2014,OR,41,110884.0,7552.98,8441.48,113
2014,OR,41,653514.0,6726.17,7543.07,114
2014,PA,42,2616369.0,9484.6,10020.9,115
2014,PA,42,425084.0,9660.93,10406.59,116
2014,PA,42,2191285.0,9445.97,9936.4,117
2014,PR,72,756555.0,6451.31,5387.44,118
2014,PR,72,186918.0,9878.29,8184.56,119
2014,PR,72,569637.0,5709.36,4781.86,120
2014,RI,44,209541.0,8836.93,10099.72,121
2014,RI,44,37957.0,8616.0,9951.15,122
2014,RI,44,171584.0,8905.44,10145.79,123
2014,SC,45,953629.0,8856.52,8761.51,124
2014,SC,45,181505.0,10036.94,9966.14,125
2014,SC,45,772124.0,8612.03,8512.01,126
2014,SD,46,159626.0,7719.55,8040.45,127
2014,SD,46,19901.0,8815.66,9228.53,128
2014,SD,46,139725.0,7552.28,7859.15,129
2014,TN,47,1267265.0,9419.88,8913.6,130
2014,TN,47,260861.0,10180.29,9760.37,131
2014,TN,47,1006404.0,9238.62,8711.75,132
2014,TX,48,3703369.0,10819.58,10841.14,133
2014,TX,48,602452.0,13137.26,13296.75,134
2014,TX,48,3100917.0,10365.24,10359.76,135
2014,Territory,,0.0,0.0,0.0,136
2014,Territory,,0.0,0.0,0.0,137
2014,Territory,,0.0,0.0,0.0,138
