Year,geo_level,geo_name,geo_code,benes_total_cnt,benes_ffs_cnt,benes_ma_cnt,ma_participation_rate,total_payment_per_capita,total_std_payment_per_capita,bene_avg_age,bene_dual_pct,bene_avg_risk_score,er_visits_per_1000,ip_stays_per_1000,op_visits_per_1000,rowid
2014,National,National,,56767775.0,33462969.0,15839852.0,0.3213,9767.0,9190.6,71.0,0.2148,1.0,670.7247,281.6952,3989.5324,1
2014,National,National,,9286837.0,5867170.0,1957166.0,0.2501,10732.16,10078.6,51.0,0.5736,1.14,1176.7975,342.6015,4924.737,2
2014,National,National,,47480938.0,27595799.0,13882686.0,0.3347,9561.79,9001.8,76.0,0.1385,0.97,563.1281,268.7459,3790.6977,3
2014,State,AK,02,84573.0,71383.0,477.0,0.0066,8602.11,6523.5,70.0,0.2381,0.81,555.3143,194.8083,3881.8066,4
2014,State,AK,02,13294.0,11578.0,63.0,0.0054,10572.99,8173.27,51.0,0.6498,1.01,1069.0102,239.0741,5142.5117,5
2014,State,AK,02,71279.0,59805.0,414.0,0.0069,8220.55,6204.12,74.0,0.1584,0.77,455.8649,186.2386,3637.7393,6
2014,County,AK-Aleutians East,02013,168.0,117.0,0.0,0.0,6076.2,4576.98,71.0,0.2308,0.76,196.5812,153.8462,4547.0085,7
2014,County,AK-Aleutians West,02016,231.0,136.0,0.0,0.0,13251.28,9712.25,69.0,0.2721,0.71,198.5294,205.8824,3485.2941,8
2014,County,AK-Anchorage,02020,33247.0,27578.0,177.0,0.0064,8500.15,6665.07,70.0,0.2493,0.85,597.324,194.8292,2886.0686,9
2014,County,AK-Bethel,02050,1311.0,1059.0,0.0,0.0,10708.81,6839.29,71.0,0.5722,0.73,53.8244,288.9518,4846.0812,10
2014,County,AK-Bristol Bay,02060,122.0,104.0,0.0,0.0,9933.87,6648.44,72.0,0.1731,0.78,0.0,201.9231,2884.6154,11
2014,County,AK-Denali,02068,205.0,182.0,0.0,0.0,5371.56,4295.53,70.0,0.0824,0.63,296.7033,93.4066,1895.6044,12
2014,County,AK-Dillingham,02070,441.0,352.0,0.0,0.0,11605.09,7711.04,71.0,0.5341,0.81,85.2273,227.2727,6517.0455,13
2014,County,AK-Fairbanks North Star,02090,9599.0,8146.0,58.0,0.0071,7604.32,5535.63,70.0,0.1844,0.77,607.783,150.2578,3762.4601,14
2014,County,AK-Haines,02100,531.0,469.0,0.0,0.0,7711.09,6279.22,71.0,0.1834,0.72,277.1855,153.5181,5861.4072,15
2014,County,AK-Hoonah-Angoon,02105,237.0,198.0,0.0,0.0,6467.88,5199.88,67.0,0.3535,0.67,196.9697,151.5152,5752.5253,16
2014,County,AK-Juneau,02110,4313.0,3689.0,19.0,0.0051,7501.02,5923.02,70.0,0.2207,0.75,581.1873,177.826,4428.8425,17
2014,County,AK-Kenai Peninsula,02122,9786.0,8596.0,57.0,0.0066,8378.44,6501.18,70.0,0.1902,0.78,607.2592,198.8134,5121.2192,18
2014,County,AK-Ketchikan Gateway,02130,2176.0,1894.0,13.0,0.0068,10004.08,7252.34,71.0,0.2307,0.84,785.1109,233.3685,8437.698,19
2014,County,AK-Kodiak Island,02150,1436.0,1183.0,0.0,0.0,10607.06,7656.53,70.0,0.2367,0.78,406.5934,177.5148,4088.7574,20
2014,County,AK-Lake and Peninsula,02164,178.0,150.0,0.0,0.0,12119.68,8183.84,71.0,0.4133,0.83,146.6667,306.6667,5906.6667,21
2014,County,AK-Matanuska-Susitna,02170,11399.0,9825.0,86.0,0.0087,8343.44,6360.42,69.0,0.2165,0.82,566.7176,207.6336,2563.257,22
2014,County,AK-Nome,02180,805.0,618.0,0.0,0.0,13620.49,8706.36,70.0,0.4709,0.75,833.3333,258.8997,8828.479,23
2014,County,AK-North Slope,02185,493.0,376.0,0.0,0.0,15572.24,8171.14,69.0,0.2074,0.82,127.6596,375.0,8510.6383,24
2014,County,AK-Northwest Arctic,02188,547.0,427.0,0.0,0.0,12350.03,7156.32,71.0,0.5363,0.81,53.8642,360.6557,7444.9649,25
2014,County,AK-Petersburg,02195,682.0,608.0,0.0,0.0,8904.57,7047.13,71.0,0.1974,0.73,378.2895,161.1842,8480.2632,26
2014,County,AK-Prince of Wales-Hyder,02198,855.0,714.0,0.0,0.0,7593.79,5976.53,70.0,0.2773,0.81,233.8936,158.2633,5516.8067,27
2014,County,AK-Sitka,02220,1264.0,1077.0,0.0,0.0,11787.93,9055.81,71.0,0.1746,0.82,429.8979,204.2711,10372.3305,28
2014,County,AK-Skagway,02230,325.0,287.0,0.0,0.0,7624.51,5832.34,73.0,0.1394,0.7,216.0279,139.3728,3000.0,29
2014,County,AK-Southeast Fairbanks,02240,1074.0,915.0,11.0,0.0119,7564.01,5626.76,70.0,0.2044,0.73,337.7049,163.9344,2383.6066,30
2014,County,AK-UNKNOWN,02000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
2014,County,AK-Valdez-Cordova,02261,1288.0,1099.0,0.0,0.0,9061.52,6799.05,70.0,0.1938,0.73,429.4813,178.3439,3400.364,32
2014,County,AK-Wade Hampton,02270,528.0,442.0,0.0,0.0,11518.48,7678.84,70.0,0.6765,0.85,52.0362,298.6425,4398.19,33
2014,County,AK-Wrangell,02275,454.0,407.0,0.0,0.0,12856.04,9428.74,73.0,0.1966,0.88,685.5037,265.3563,8653.5627,34
2014,County,AK-Yakutat,02282,101.0,92.0,0.0,0.0,10461.19,8062.61,71.0,0.2391,0.69,239.1304,239.1304,3369.5652,35
2014,County,AK-Yukon-Koyukuk,02290,775.0,642.0,0.0,0.0,6888.56,4944.14,72.0,0.4252,0.81,485.9813,155.7632,3087.2274,36
2014,State,AL,01,994352.0,674129.0,224558.0,0.2499,8655.37,9365.32,70.0,0.2095,0.98,685.0113,295.3752,3066.0081,37
2014,State,AL,01,238551.0,151187.0,59061.0,0.2809,8561.9,9223.15,51.0,0.4564,1.04,1114.8379,317.2693,3434.3694,38
2014,State,AL,01,755801.0,522942.0,165497.0,0.2404,8682.4,9406.42,75.0,0.1382,0.96,560.7448,289.0454,2959.5118,39
2014,County,AL-Autauga,01001,10067.0,6087.0,2978.0,0.3285,7910.83,8711.66,70.0,0.127,0.94,616.3956,264.0053,2969.4431,40
2014,County,AL-Baldwin,01003,45007.0,27575.0,13405.0,0.3271,7817.78,8629.44,72.0,0.0954,0.89,521.1967,255.884,3438.4044,41
2014,County,AL-Barbour,01005,6338.0,4928.0,882.0,0.1518,8894.73,9663.11,68.0,0.3354,1.03,894.4805,300.1218,3321.4286,42
2014,County,AL-Bibb,01007,4880.0,2824.0,1661.0,0.3703,9187.46,9718.81,67.0,0.2557,1.0,687.3229,301.3456,3588.1728,43
2014,County,AL-Blount,01009,12142.0,6363.0,4698.0,0.4247,8275.46,8812.95,70.0,0.1565,0.91,595.3167,248.4677,2888.7317,44
2014,County,AL-Bullock,01011,2001.0,1295.0,444.0,0.2553,8756.39,9517.76,69.0,0.3637,1.04,771.4286,332.0463,2650.9653,45
2014,County,AL-Butler,01013,4844.0,4044.0,447.0,0.0995,9063.36,9851.67,69.0,0.3304,1.04,755.1929,333.5806,3615.4797,46
2014,County,AL-Calhoun,01015,26949.0,20758.0,3524.0,0.1451,9043.17,10084.41,69.0,0.2128,1.01,760.0443,331.872,3022.4974,47
2014,County,AL-Chambers,01017,8873.0,6869.0,1364.0,0.1657,7384.1,7984.73,69.0,0.2811,1.03,671.5679,268.3069,3539.0887,48
2014,County,AL-Cherokee,01019,6941.0,4897.0,1514.0,0.2362,8951.37,9489.33,68.0,0.2324,0.97,701.4499,297.9375,2441.9032,49
2014,County,AL-Chilton,01021,8968.0,4400.0,3813.0,0.4643,8934.99,9625.66,70.0,0.175,1.0,589.7727,297.5,1989.5455,50
2014,County,AL-Choctaw,01023,3884.0,3384.0,305.0,0.0827,10205.68,10996.16,69.0,0.2979,0.94,882.9787,261.5248,4120.5674,51
2014,County,AL-Clarke,01025,6264.0,4499.0,1274.0,0.2207,8354.97,9117.04,69.0,0.287,0.93,668.1485,280.2845,2936.6526,52
2014,County,AL-Clay,01027,3602.0,2901.0,434.0,0.1301,8208.56,8879.92,69.0,0.2878,0.99,716.3047,320.2344,3681.1444,53
2014,County,AL-Cleburne,01029,3554.0,2822.0,417.0,0.1287,9036.36,9921.09,69.0,0.2597,0.97,707.6541,319.9858,2654.146,54
2014,County,AL-Coffee,01031,10211.0,8628.0,859.0,0.0905,7832.86,8741.97,70.0,0.225,0.93,757.5336,262.8651,2561.312,55
2014,County,AL-Colbert,01033,13850.0,11435.0,1373.0,0.1072,8683.28,9661.11,70.0,0.2245,0.95,857.1054,307.7394,2962.3962,56
2014,County,AL-Conecuh,01035,3556.0,2959.0,367.0,0.1103,8834.21,9645.81,68.0,0.3322,0.97,1006.759,404.5286,2982.7644,57
2014,County,AL-Coosa,01037,2510.0,1971.0,329.0,0.143,8679.43,9500.13,67.0,0.2725,0.92,802.1309,271.4358,3854.896,58
2014,County,AL-Covington,01039,9754.0,8273.0,787.0,0.0869,8755.64,9648.23,70.0,0.2815,0.98,914.4204,345.3403,3753.0521,59
2014,County,AL-Crenshaw,01041,3491.0,2549.0,688.0,0.2125,8572.12,9328.41,70.0,0.2958,0.93,770.8905,277.3637,3197.3323,60
2014,County,AL-Cullman,01043,19061.0,13550.0,3937.0,0.2251,8548.89,9067.5,71.0,0.2219,0.97,621.9926,266.7897,2655.0554,61
2014,County,AL-Dale,01045,10050.0,8309.0,912.0,0.0989,8346.37,9256.44,69.0,0.2548,0.95,925.7432,289.3248,3839.9326,62
2014,County,AL-Dallas,01047,9982.0,7086.0,1905.0,0.2119,9187.89,9732.58,68.0,0.4074,1.14,782.2467,322.7491,2777.3074,63
2014,County,AL-DeKalb,01049,15306.0,11346.0,2694.0,0.1919,7927.74,8673.87,69.0,0.2601,0.92,665.609,273.6647,2605.8523,64
2014,County,AL-Elmore,01051,15760.0,10140.0,4067.0,0.2863,8129.33,8841.58,70.0,0.1241,0.91,604.6351,263.6095,2895.2663,65
2014,County,AL-Escambia,01053,8751.0,7167.0,917.0,0.1134,9770.51,10715.33,69.0,0.2675,1.02,930.3753,358.7275,4282.8241,66
2014,County,AL-Etowah,01055,25386.0,17453.0,5764.0,0.2483,9717.37,10565.38,69.0,0.2241,1.01,691.1133,355.9273,2444.2789,67
2014,County,AL-Fayette,01057,4865.0,3962.0,576.0,0.1269,8667.63,9265.38,69.0,0.2756,0.99,902.5745,314.74,4555.2751,68
2014,County,AL-Franklin,01059,6828.0,5884.0,501.0,0.0785,8868.73,9786.73,69.0,0.2937,0.93,778.0421,345.1734,3094.3236,69
2014,County,AL-Geneva,01061,6832.0,5729.0,655.0,0.1026,8023.34,8918.28,69.0,0.2905,0.94,780.7645,302.3215,2921.1032,70
2014,County,AL-Greene,01063,2223.0,1908.0,148.0,0.072,9294.82,9568.84,67.0,0.3968,1.05,983.2285,381.0273,3877.3585,71
2014,County,AL-Hale,01065,3976.0,3429.0,240.0,0.0654,8401.38,8648.05,66.0,0.3747,0.96,900.5541,288.7139,3010.7903,72
2014,County,AL-Henry,01067,4571.0,3346.0,849.0,0.2024,8392.73,9210.57,69.0,0.2821,0.97,630.006,273.7597,2854.4531,73
2014,County,AL-Houston,01069,22370.0,17745.0,2852.0,0.1385,8347.57,9266.82,70.0,0.2685,0.95,724.9366,303.184,3248.5207,74
2014,County,AL-Jackson,01071,12897.0,10163.0,1616.0,0.1372,8872.38,9454.87,70.0,0.2379,0.99,662.5012,303.5521,3079.7009,75
2014,County,AL-Jefferson,01073,128464.0,63513.0,49960.0,0.4403,9005.97,9573.67,70.0,0.1516,1.01,633.2562,288.2717,3068.1593,76
2014,County,AL-Lamar,01075,3958.0,3420.0,294.0,0.0792,8364.23,8923.39,69.0,0.2787,0.95,896.4912,299.4152,3636.5497,77
2014,County,AL-Lauderdale,01077,21291.0,17470.0,2216.0,0.1126,7908.12,8760.17,71.0,0.2077,0.92,630.6239,292.2152,2215.8558,78
2014,County,AL-Lawrence,01079,7751.0,6383.0,787.0,0.1098,8285.02,9041.12,69.0,0.2455,1.0,734.1376,296.8823,2795.394,79
2014,County,AL-Lee,01081,20724.0,15885.0,2530.0,0.1374,7402.85,7962.54,69.0,0.1955,0.93,541.5172,241.108,3534.0258,80
2014,County,AL-Limestone,01083,16068.0,11966.0,2538.0,0.175,8890.44,9441.32,70.0,0.1907,0.95,769.8479,295.7546,3216.948,81
2014,County,AL-Lowndes,01085,2742.0,1508.0,997.0,0.398,9058.65,9785.49,68.0,0.311,1.11,737.4005,298.4085,2885.9416,82
2014,County,AL-Macon,01087,4494.0,2887.0,908.0,0.2393,7571.48,8302.47,69.0,0.2515,1.02,623.4846,253.8968,2404.9186,83
2014,County,AL-Madison,01089,59278.0,44275.0,7844.0,0.1505,8982.65,9575.21,72.0,0.1403,0.98,636.7928,278.3738,3070.3106,84
2014,County,AL-Marengo,01091,5404.0,4543.0,474.0,0.0945,8646.47,9210.06,68.0,0.3297,0.97,626.6784,303.9842,2848.3381,85
2014,County,AL-Marion,01093,7284.0,6084.0,765.0,0.1117,8527.72,9243.37,70.0,0.262,0.95,793.3925,316.4037,3897.1072,86
2014,County,AL-Marshall,01095,20253.0,16333.0,2165.0,0.117,8707.34,9509.78,70.0,0.251,0.99,791.4039,299.0877,4267.3116,87
2014,County,AL-Mobile,01097,80223.0,40651.0,31185.0,0.4341,8855.37,9764.59,70.0,0.1744,1.02,568.4731,334.8749,2296.9423,88
2014,County,AL-Monroe,01099,5292.0,4263.0,674.0,0.1365,8087.59,8816.32,69.0,0.2953,0.92,873.0941,275.8621,2911.5646,89
2014,County,AL-Montgomery,01101,40900.0,25613.0,10441.0,0.2896,8535.68,9252.51,70.0,0.1658,0.99,621.9107,267.7937,2925.0381,90
2014,County,AL-Morgan,01103,25035.0,20162.0,2654.0,0.1163,8441.03,9257.89,70.0,0.1865,0.96,650.7291,287.5707,2613.7288,91
2014,County,AL-Perry,01105,2449.0,2109.0,150.0,0.0664,8825.92,9281.33,67.0,0.4751,1.06,756.7568,325.2726,3082.0294,92
2014,County,AL-Pickens,01107,5038.0,4323.0,319.0,0.0687,8419.61,8687.88,68.0,0.309,0.94,951.6539,306.5001,3709.461,93
2014,County,AL-Pike,01109,6189.0,4367.0,1222.0,0.2186,8811.51,9685.78,69.0,0.2768,0.98,825.9675,280.055,3068.697,94
2014,County,AL-Randolph,01111,5570.0,4502.0,684.0,0.1319,8546.82,9272.6,70.0,0.2697,1.0,749.0004,282.7632,2631.275,95
2014,County,AL-Russell,01113,11009.0,7811.0,2185.0,0.2186,9022.3,9465.96,69.0,0.2244,1.06,685.0595,258.6097,4834.8483,96
2014,County,AL-Shelby,01117,32528.0,17767.0,11049.0,0.3834,8394.19,8995.64,71.0,0.076,0.89,482.4112,261.8337,2871.7848,97
2014,County,AL-St. Clair,01115,16976.0,8629.0,6660.0,0.4356,8851.64,9466.16,70.0,0.1365,0.98,603.1985,301.7731,2834.1639,98
2014,County,AL-Sumter,01119,3047.0,2605.0,193.0,0.069,8893.63,9610.89,67.0,0.4019,0.99,893.666,304.4146,3496.737,99
2014,County,AL-Talladega,01121,19414.0,13046.0,4308.0,0.2482,8854.79,9630.56,68.0,0.2561,0.97,799.3255,304.3845,3362.4866,100
2014,County,AL-Tallapoosa,01123,10980.0,8939.0,1106.0,0.1101,8527.53,9307.16,69.0,0.2522,0.99,759.9284,265.4659,4089.6073,101
2014,County,AL-Tuscaloosa,01125,34156.0,26864.0,3689.0,0.1207,9253.66,9639.18,69.0,0.1993,0.99,704.3255,332.6013,3053.4917,102
2014,County,AL-UNKNOWN,01000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
2014,County,AL-Walker,01127,17941.0,10657.0,5858.0,0.3547,9016.51,9570.36,69.0,0.1945,1.03,654.124,312.1892,2844.2338,104
2014,County,AL-Washington,01129,4019.0,3250.0,488.0,0.1306,7997.43,8882.76,69.0,0.2554,0.92,613.2308,257.8462,2992.6154,105
2014,County,AL-Wilcox,01131,3188.0,2672.0,280.0,0.0949,7907.07,8522.93,66.0,0.4461,0.97,850.6737,231.2874,2497.7545,106
2014,County,AL-Winston,01133,6143.0,4954.0,739.0,0.1298,9157.99,9819.13,69.0,0.3006,0.96,660.4764,352.6443,2533.912,107
2014,State,AR,05,614341.0,444779.0,109591.0,0.1977,8280.93,8745.69,70.0,0.2281,0.94,681.5992,292.6937,3574.836,108
2014,State,AR,05,142590.0,94898.0,29408.0,0.2366,7972.53,8330.85,51.0,0.5194,0.97,1073.1838,308.3521,3725.8214,109
2014,State,AR,05,471751.0,349881.0,80183.0,0.1864,8364.58,8858.21,75.0,0.1491,0.93,575.3899,288.4466,3533.8844,110
2014,County,AR-Arkansas,05001,4286.0,3454.0,419.0,0.1082,7962.94,8197.08,71.0,0.2542,0.89,670.8164,300.8107,4965.8367,111
2014,County,AR-Ashley,05003,5276.0,4288.0,597.0,0.1222,9223.34,9623.76,70.0,0.2542,0.96,675.1399,316.4646,4609.8414,112
2014,County,AR-Baxter,05005,14990.0,10371.0,3710.0,0.2635,7365.4,7956.34,72.0,0.15,0.9,538.0388,249.9277,3773.3102,113
2014,County,AR-Benton,05007,38467.0,23496.0,10939.0,0.3177,8356.38,8727.22,72.0,0.1541,0.94,658.9632,266.8965,3121.51,114
2014,County,AR-Boone,05009,9937.0,7070.0,2062.0,0.2258,7244.82,7634.64,70.0,0.2079,0.93,616.8317,245.2617,3770.297,115
2014,County,AR-Bradley,05011,2632.0,2191.0,235.0,0.0969,9638.95,10098.79,70.0,0.2748,0.99,815.1529,335.9197,4512.5513,116
2014,County,AR-Calhoun,05013,1221.0,965.0,137.0,0.1243,8250.98,8929.86,70.0,0.2259,0.94,566.8394,237.3057,3624.8705,117
2014,County,AR-Carroll,05015,6953.0,4493.0,1771.0,0.2827,7087.8,7336.34,71.0,0.1858,0.81,647.6742,224.1264,3178.0548,118
2014,County,AR-Chicot,05017,2825.0,2272.0,252.0,0.0998,9455.72,9810.73,71.0,0.3719,0.96,817.3415,323.9437,3630.2817,119
2014,County,AR-Clark,05019,4594.0,3373.0,759.0,0.1837,7253.73,7815.02,71.0,0.2093,0.95,639.1936,262.0812,2963.8304,120
2014,County,AR-Clay,05021,4332.0,3538.0,466.0,0.1164,8615.73,9215.29,71.0,0.2564,0.89,692.4816,328.7168,3980.4975,121
2014,County,AR-Cleburne,05023,7866.0,6486.0,867.0,0.1179,7131.58,7583.11,72.0,0.1659,0.85,592.5069,248.3811,4244.9892,122
2014,County,AR-Cleveland,05025,2021.0,1663.0,209.0,0.1116,8149.89,8390.26,70.0,0.2165,0.93,613.3494,276.0072,3363.199,123
2014,County,AR-Columbia,05027,5313.0,4316.0,576.0,0.1177,8609.53,9038.96,70.0,0.2734,0.96,677.7108,273.8647,3575.0695,124
2014,County,AR-Conway,05029,5122.0,3781.0,915.0,0.1948,7914.97,8336.22,70.0,0.2547,0.91,671.251,267.6541,3571.5419,125
2014,County,AR-Craighead,05031,17739.0,13754.0,2359.0,0.1464,8279.81,8891.5,69.0,0.2301,0.92,734.1864,320.3432,4035.8441,126
2014,County,AR-Crawford,05033,13103.0,7262.0,4586.0,0.3871,8269.0,9063.7,69.0,0.2337,0.94,741.9444,305.8386,3831.7268,127
2014,County,AR-Crittenden,05035,8817.0,6568.0,1244.0,0.1592,9072.11,8937.1,68.0,0.3436,1.11,732.6431,288.3678,2067.7527,128
2014,County,AR-Cross,05037,4016.0,3054.0,626.0,0.1701,8410.46,8778.66,70.0,0.2662,0.91,749.1814,350.3602,3410.9365,129
2014,County,AR-Dallas,05039,2009.0,1480.0,355.0,0.1935,8506.05,8988.37,70.0,0.2486,0.97,675.6757,288.5135,4677.027,130
2014,County,AR-Desha,05041,2943.0,2427.0,234.0,0.0879,10590.47,10557.27,70.0,0.3337,1.0,861.9695,340.3379,4258.7557,131
2014,County,AR-Drew,05043,3711.0,3072.0,330.0,0.097,9771.61,10205.52,70.0,0.2747,1.01,788.0859,408.8542,4234.375,132
2014,County,AR-Faulkner,05045,17969.0,14436.0,1565.0,0.0978,7967.61,8402.58,70.0,0.178,0.91,593.1699,260.9449,3379.1909,133
2014,County,AR-Franklin,05047,4234.0,2765.0,1113.0,0.287,8309.46,8796.46,70.0,0.2499,0.89,788.4268,286.4376,2848.8246,134
2014,County,AR-Fulton,05049,3602.0,2629.0,715.0,0.2138,7781.67,8529.0,70.0,0.2617,0.92,650.8178,278.4329,3650.8178,135
2014,County,AR-Garland,05051,27785.0,20211.0,5156.0,0.2033,8354.54,8907.1,72.0,0.1564,0.91,612.3398,299.6388,3095.3441,136
2014,County,AR-Grant,05053,3751.0,2907.0,494.0,0.1453,8270.52,8673.26,70.0,0.1637,0.92,603.3712,297.5576,3078.7754,137
2014,County,AR-Greene,05055,9370.0,7014.0,1659.0,0.1913,8164.13,8765.93,69.0,0.2425,0.92,742.9427,326.6324,3665.5261,138
2014,County,AR-Hempstead,05057,4604.0,3433.0,742.0,0.1777,8677.45,9490.86,70.0,0.2875,1.01,817.3609,321.002,2930.9642,139
2014,County,AR-Hot Spring,05059,7584.0,5810.0,1115.0,0.161,8389.36,8976.02,70.0,0.2105,0.97,768.8468,330.4647,3097.074,140
2014,County,AR-Howard,05061,3134.0,2385.0,471.0,0.1649,8756.1,9326.34,70.0,0.244,0.94,755.9748,236.478,3978.1971,141
2014,County,AR-Independence,05063,8440.0,6992.0,780.0,0.1004,8731.49,9244.15,70.0,0.2509,0.97,739.2735,332.8089,4165.4748,142
2014,County,AR-Izard,05065,3970.0,3063.0,627.0,0.1699,7769.57,8385.33,70.0,0.2514,0.85,659.8106,293.5031,3422.7881,143
2014,County,AR-Jackson,05067,4012.0,3387.0,330.0,0.0888,9664.72,10187.16,70.0,0.3106,1.02,922.0549,427.8122,3787.7177,144
2014,County,AR-Jefferson,05069,15443.0,10541.0,3174.0,0.2314,8190.86,8319.28,69.0,0.2689,1.0,675.9321,266.673,3301.8689,145
2014,County,AR-Johnson,05071,5550.0,3792.0,1209.0,0.2418,7166.13,7536.49,69.0,0.2845,0.87,799.8418,286.6561,3660.3376,146
2014,County,AR-Lafayette,05073,1838.0,1489.0,188.0,0.1121,9131.18,9940.77,70.0,0.3177,1.02,730.6917,306.2458,2881.1283,147
2014,County,AR-Lawrence,05075,4481.0,3526.0,628.0,0.1512,8502.32,9190.51,70.0,0.3026,0.91,832.1044,351.9569,4510.4935,148
2014,County,AR-Lee,05077,2094.0,1430.0,465.0,0.2454,8535.18,8531.49,69.0,0.4371,1.02,723.7762,293.7063,2225.8741,149
2014,County,AR-Lincoln,05079,2424.0,1862.0,317.0,0.1455,8513.8,8650.5,70.0,0.3056,0.99,705.6928,298.6037,3330.29,150
2014,County,AR-Little River,05081,3190.0,2530.0,372.0,0.1282,10422.73,11050.81,70.0,0.2431,1.02,937.1542,305.5336,4603.5573,151
2014,County,AR-Logan,05083,5652.0,3860.0,1328.0,0.256,8457.35,8962.84,70.0,0.2715,0.88,793.7824,282.1244,3801.0363,152
2014,County,AR-Lonoke,05085,12047.0,9151.0,1698.0,0.1565,8347.35,8906.08,69.0,0.1894,0.92,624.6312,291.8807,3486.2857,153
2014,County,AR-Madison,05087,3666.0,2262.0,1024.0,0.3116,6784.23,7117.24,69.0,0.2653,0.87,561.008,243.5897,1484.9691,154
2014,County,AR-Marion,05089,5321.0,3607.0,1284.0,0.2625,6953.3,7458.04,70.0,0.2171,0.87,574.7158,251.1783,3318.8245,155
2014,County,AR-Miller,05091,8496.0,6261.0,1403.0,0.1831,8941.76,9765.21,70.0,0.2391,0.99,846.9893,293.4036,3663.9514,156
2014,County,AR-Mississippi,05093,8834.0,6555.0,1466.0,0.1828,8693.23,9004.49,68.0,0.3248,1.0,850.3432,358.3524,2891.6857,157
2014,County,AR-Monroe,05095,2100.0,1577.0,351.0,0.1821,9151.7,9400.61,71.0,0.3557,0.96,615.7261,307.546,2928.9791,158
2014,County,AR-Montgomery,05097,2619.0,2012.0,391.0,0.1627,7313.18,7872.17,72.0,0.2316,0.87,497.0179,280.8151,2012.9225,159
2014,County,AR-Nevada,05099,2198.0,1585.0,436.0,0.2157,7733.62,8464.16,69.0,0.2833,0.94,612.6183,286.4353,2418.9274,160
2014,County,AR-Newton,05101,2441.0,1706.0,524.0,0.235,6189.77,6448.95,69.0,0.3066,0.77,538.687,222.1571,2699.8828,161
2014,County,AR-Ouachita,05103,6389.0,4300.0,1451.0,0.2523,7974.01,8546.13,70.0,0.2486,0.96,643.0233,256.7442,3821.8605,162
2014,County,AR-Perry,05105,2739.0,2031.0,415.0,0.1697,7361.19,7899.97,70.0,0.2211,0.89,581.487,301.3294,3626.7848,163
2014,County,AR-Phillips,05107,4518.0,3271.0,846.0,0.2055,8452.15,8628.27,69.0,0.3968,1.03,748.7007,331.3971,2885.9676,164
