Year,service_id,total_services,total_beneficiaries,total_allowed,total_payment,allowed_per_service,rowid
2022,SERVICE_001,97229103.7,56297566.0,11659696456.6698,8139871713.05974,119.919818377075,1
2022,SERVICE_002,72368685.1,46738646.0,6194685725.06955,4316975149.33996,85.5989813343942,2
2022,SERVICE_003,3716326.1,377800.0,3332916310.57991,2653616696.9304,896.830961787748,3
2022,SERVICE_004,34257415.0,12193201.0,2413336747.53006,1916599981.74005,70.4471352415253,4
2022,SERVICE_005,24787132.1,9995213.0,2526502641.55939,2010825548.13996,101.927993580161,5
2022,SERVICE_006,7285377.0,1777349.0,1957382380.94093,1549042104.01962,268.672764764394,6
2022,SERVICE_007,3909857.1,2813921.0,1834872486.09049,1444134303.6596,469.294002098055,7
2022,SERVICE_008,11192583.0,11191516.0,1810358570.69004,1282105302.87004,161.746271677417,8
2022,SERVICE_009,10345559.0,6842750.0,1737429578.68022,1274511973.37,167.939652045889,9
2022,SERVICE_010,8435048.0,7949888.0,1656932188.73992,1300281499.78996,196.434233538436,10
2022,SERVICE_011,8952859.0,8643593.0,1572179968.54996,1310981384.75996,175.606470352092,11
2022,SERVICE_012,60746214.3,4714766.0,1465583297.1199,1133177053.6399,24.1263313937885,12
2022,SERVICE_013,92795222.0,9401724.0,1053891540.23834,1053891540.23834,11.3571746208909,13
2022,SERVICE_014,25195372.0,35905.0,1312124028.3701,1047455630.00967,52.0779779861993,14
2022,SERVICE_015,9275347.0,8023565.0,1175561920.84015,776538904.269991,126.740478910401,15
2022,SERVICE_016,5379608.0,3303185.0,1176344861.85009,962823941.600009,218.667393953257,16
2022,SERVICE_017,9213052.0,9213028.0,1107411150.58996,1107411150.58996,120.200249666447,17
2022,SERVICE_018,2634201.8,1916992.0,1059290653.63067,830873613.79947,402.129652189393,18
2022,SERVICE_019,28534152.9,2752387.0,951292976.370001,740010644.609941,33.3387495225064,19
2022,SERVICE_020,47552604.5,428881.0,1017712840.60995,804559509.749844,21.4018317463547,20
2022,SERVICE_021,10623466.0,2932896.0,888623345.669939,684784757.29999,83.6472151056858,21
2022,SERVICE_022,18119167.8,9060575.0,928133028.469697,707366233.629913,51.2238221266264,22
2022,SERVICE_023,8690922.0,8689921.0,933032302.060081,641447996.999994,107.357113786096,23
2022,SERVICE_024,102907432.0,5718837.0,880948147.989856,702563928.069993,8.5605881992066,24
2022,SERVICE_025,6632392.0,6400954.0,780912908.399844,585247587.150022,117.742272833066,25
2022,SERVICE_026,24323444.1,2710678.0,710636784.960045,551711341.079955,29.2161250700531,26
2022,SERVICE_027,3176449.7,1598630.0,736863578.030114,582686427.53027,231.977096325534,27
2022,SERVICE_028,10439034.1,2723412.0,685005209.959973,526581507.909998,65.6195969280313,28
2022,SERVICE_029,3908584.0,33706.0,145670842.950003,116064082.189661,37.2694671395071,29
2022,SERVICE_030,489314.0,468558.0,625090663.209861,497565444.459917,1277.48370823206,30
2022,SERVICE_031,4198865.0,3953257.0,562518840.070121,440423233.070051,133.9692607574,31
2022,SERVICE_032,27835618.0,3190862.0,602010426.969969,465791362.400023,21.6273418815407,32
2022,SERVICE_033,2693736.0,112854.0,751078580.59006,597487183.11988,278.824124038161,33
2022,SERVICE_034,12592718.1,31468.0,543618554.309728,432792601.840136,43.169278466555,34
2022,SERVICE_036,3909961.0,3811024.0,466496257.520012,363363427.250028,119.309695805153,35
2022,SERVICE_037,4325899.0,4125860.0,448165297.329997,355822266.639991,103.60049953316,36
2022,SERVICE_038,2357740.0,2357502.0,500928823.790015,372738339.979998,212.461435014045,37
2022,SERVICE_039,1406150.0,1394923.0,485167512.129939,381492875.149953,345.032544273327,38
2022,SERVICE_040,853158.0,666219.0,483252468.240024,379461576.109883,566.427869445078,39
2022,SERVICE_041,12346537.3,1395747.0,483114622.720013,341100561.599971,39.1295641021562,40
2022,SERVICE_042,201547.0,147730.0,470191375.256449,470191375.256449,2332.91180348231,41
2022,SERVICE_043,1368457.0,293265.0,494813299.370035,390094255.98004,361.584835599537,42
2022,SERVICE_044,3604735.3,331900.0,458164976.930094,353404090.980054,127.100865611435,43
2022,SERVICE_045,7521606.9,7479006.0,506624735.500077,506624702.390076,67.3559177228574,44
2022,SERVICE_046,687875.0,616902.0,429709292.640266,340870644.289852,624.690957863371,45
2022,SERVICE_047,3441017.0,786342.0,417803488.469836,315692424.850103,121.418606321862,46
2022,SERVICE_048,6003313.5,5890060.0,409331445.55985,409331445.55985,68.1842528396776,47
2022,SERVICE_049,1097992.0,87746.0,405575366.490255,323482768.330164,369.379163500513,48
2022,SERVICE_050,329275.0,322012.0,367224162.624517,291522475.029693,1115.25066471648,49
2022,SERVICE_051,3169892.0,3038633.0,364736045.479986,276149976.979984,115.062609540005,50
2022,SERVICE_052,7292613.5,5248240.0,390784975.599986,278584010.400005,53.5864098104179,51
2022,SERVICE_053,66895.4,65196.0,338554707.810156,269695820.639591,5060.95647548495,52
2022,SERVICE_054,261929.0,254677.0,324034431.900137,257888980.46006,1237.1078876342,53
2022,SERVICE_055,13192149.5,13083243.0,338925439.090204,338925439.090204,25.6914492282099,54
2022,SERVICE_056,868791.5,867043.0,238605886.539882,238605877.399882,274.641138339731,55
2022,SERVICE_057,1328559.0,1314350.0,339517006.940073,265319260.590031,255.552825986707,56
2022,SERVICE_058,3704227.0,2377162.0,340331654.789979,237424498.439999,91.8765655533473,57
2022,SERVICE_059,3966495.5,3947943.0,271589466.480031,271589450.600031,68.4708873311543,58
2022,SERVICE_060,4591456.0,1033525.0,281262307.860012,211680232.360009,61.2577595995718,59
2022,SERVICE_061,7624132.1,4016534.0,305212936.599978,223087276.930034,40.0324827267851,60
2022,SERVICE_062,1318857.0,1311019.0,308239234.970047,242022656.920005,233.716949578345,61
2022,SERVICE_063,4609497.0,2668607.0,304566637.030002,225752016.200032,66.0737249704256,62
2022,SERVICE_064,5728400.0,4204196.0,292158869.379983,206873368.670024,51.0018276272577,63
2022,SERVICE_065,2694455.0,2126984.0,284762107.779999,202833276.090004,105.684491958485,64
2022,SERVICE_066,6649680.0,2734719.0,493149165.950044,493149135.950043,74.1613379816839,65
2022,SERVICE_067,536318.0,536318.0,269302515.39231,269302515.39231,502.132159264299,66
2022,SERVICE_068,3192561.0,2662552.0,281161191.389971,201942744.700017,88.0676019628038,67
2022,SERVICE_069,51914531.0,21819.0,292645600.249996,232670295.189983,5.63706528043171,68
2022,SERVICE_070,26843176.0,15694338.0,279391263.121108,279391218.781111,10.4082789279893,69
2022,SERVICE_071,1635009.0,1582788.0,273339110.269916,212795258.049924,167.178963705959,70
2022,SERVICE_072,9036679.0,7845.0,258765254.690022,206567715.620075,28.6349946357531,71
2022,SERVICE_073,40916298.2,96643.0,245620332.709951,194920808.990044,6.0029949803707,72
2022,SERVICE_074,6369879.8,530548.0,220440407.200037,220440407.200037,34.6066824055357,73
2022,SERVICE_075,25571.0,25239.0,237316485.070278,189375294.120201,9280.68847797418,74
2022,SERVICE_076,1070155.0,389467.0,124376407.630067,92345900.199996,116.222797286437,75
2022,SERVICE_077,1720092.0,1719934.0,256018545.45009,164634257.199993,148.840030329825,76
2022,SERVICE_078,17031178.2,28219.0,249378422.169844,198178220.700085,14.6424644990118,77
2022,SERVICE_080,1009177.0,625751.0,239949851.990001,184382243.70008,237.767856372075,78
2022,SERVICE_081,1816461.0,787358.0,219418386.739981,170816262.780017,120.794438603406,79
2022,SERVICE_082,29196.0,20654.0,243658039.1591,194543578.099959,8345.59662827441,80
2022,SERVICE_083,5457256.0,2296013.0,240664196.200012,174502062.099979,44.0998546155819,81
2022,SERVICE_084,3744310.0,7047.0,168794136.12981,134759090.600104,45.0801712811733,82
2022,SERVICE_085,13805579.0,9953336.0,228779725.219267,228779694.979267,16.571541491977,83
2022,SERVICE_086,319982.6,2691.0,289129682.360227,230450623.450102,903.579389505015,84
2022,SERVICE_087,17353580.0,12510960.0,229031525.328935,229031477.118935,13.1979410201777,85
2022,SERVICE_088,40602868.0,20566757.0,120038641.299807,120038594.099807,2.95640793896154,86
2022,SERVICE_089,883540.0,582203.0,224445788.369937,174509319.660035,254.030138273239,87
2022,SERVICE_091,1674441.0,1619790.0,213582177.070085,160788650.180071,127.554316377875,88
2022,SERVICE_092,5038615.1,4792308.0,212769382.889999,159813415.929992,42.227750813909,89
2022,SERVICE_093,1550193.0,422565.0,211871298.450029,166447793.36009,136.674142155221,90
2022,SERVICE_094,1184248.0,1074191.0,193174522.110044,151954582.299983,163.119990162571,91
2022,SERVICE_095,2428884.1,318046.0,216317634.770063,165178475.470014,89.0605009807026,92
2022,SERVICE_096,5487353.5,5381827.0,200049742.190007,200049742.190007,36.4565071650672,93
2022,SERVICE_097,26201444.0,14562706.0,200531925.199965,200531883.289965,7.65346845769131,94
2022,SERVICE_098,1021249.0,32935.0,198645739.290155,194410394.809827,194.512542279263,95
2022,SERVICE_099,485870.0,312704.0,195814573.939959,156410522.170007,403.018449255889,96
2022,SERVICE_100,2194394.0,2132796.0,206666731.599984,156679009.900018,94.1794097140186,97
2022,SERVICE_1000,27987.0,24063.0,6728272.39999417,5352138.88999204,240.407060420702,98
2022,SERVICE_1001,270576.0,262090.0,7062296.59000078,5546875.16000005,26.1009719635178,99
2022,SERVICE_1002,342550.0,151720.0,6978434.80000043,6978434.80000043,20.3720180995488,100
2022,SERVICE_1003,48274.0,38969.0,7215499.22999421,5425866.71999943,149.469677880313,101
2022,SERVICE_1004,47419.0,47394.0,3590283.02000076,2674856.03000153,75.7140180096746,102
2022,SERVICE_1005,5654.0,5641.0,6815953.88999634,5442363.64999564,1205.51006190243,103
2022,SERVICE_1006,487948.0,457273.0,6851077.43003042,6851077.43003042,14.0405892226844,104
2022,SERVICE_1007,181212.0,100742.0,7318467.88999588,5725114.54000209,40.386221055978,105
2022,SERVICE_1008,61585.0,58505.0,6801379.54999248,5257399.44000059,110.438898270561,106
2022,SERVICE_1009,8385.0,7805.0,6194948.28000341,4943800.2700007,738.813152057651,107
2022,SERVICE_101,5713702.5,32759.0,202457330.870044,160694628.370066,35.4336493490943,108
2022,SERVICE_1010,2022.0,2008.0,6367314.86002319,5070249.65000874,3149.01822948724,109
2022,SERVICE_1011,108467.0,79874.0,6562406.95999817,4896347.71000122,60.5014148081736,110
2022,SERVICE_1012,63949.0,189.0,6959934.96000046,5548023.24000254,108.835712208173,111
2022,SERVICE_1013,15374.0,15320.0,7184306.93999971,5734848.14999765,467.302389748908,112
2022,SERVICE_1014,4686113.9,22401.0,6245520.06999346,4983141.43001167,1.33277171730578,113
2022,SERVICE_1015,6716.0,6631.0,7037100.4599979,5606017.25000071,1047.81126563399,114
2022,SERVICE_1016,320956.0,303389.0,5189378.63999955,5189378.63999955,16.1685048417838,115
2022,SERVICE_1017,64174.0,60000.0,6175178.95999996,4936263.28999996,96.2255580141485,116
2022,SERVICE_1018,55237.0,54721.0,6933055.08999724,5538740.01999879,125.51469286886,117
2022,SERVICE_1019,31212.0,3372.0,5828642.58998967,4643741.76999134,186.74364314974,118
2022,SERVICE_102,2536604.0,275340.0,188109481.889906,149581669.459922,74.1580009689749,119
2022,SERVICE_1020,43025.0,42424.0,6767045.70999905,5381387.12000621,157.281713189984,120
2022,SERVICE_1021,26153.0,16023.0,7162956.15000254,5524659.34999936,273.886596184091,121
2022,SERVICE_1022,40304.0,38502.0,6385954.27000196,4911771.12999679,158.444677203304,122
2022,SERVICE_1023,71417.0,45347.0,4944335.87999917,4944335.87999917,69.2319178906867,123
2022,SERVICE_1024,19685.0,13382.0,8819264.56000627,6933334.00000194,448.01953568739,124
2022,SERVICE_1025,28758.0,28613.0,5217592.70000194,5217592.70000194,181.431000069613,125
2022,SERVICE_1026,183357.0,161529.0,6960437.84998297,6960437.84998297,37.9611242002376,126
2022,SERVICE_1027,17407.0,13508.0,6214285.6800022,4953214.05999978,356.999234790728,127
2022,SERVICE_1028,121983.0,115661.0,6573342.31000025,5202106.74999781,53.887363894971,128
2022,SERVICE_1029,246303.0,136146.0,6598858.20999597,6598858.20999597,26.791627426365,129
2022,SERVICE_103,6298847.0,4985313.0,183818175.959929,183818158.19993,29.1828291685652,130
2022,SERVICE_1030,218028.0,193428.0,6505681.98999908,4969345.7200003,29.8387454363618,131
2022,SERVICE_1031,377271.0,196797.0,6398267.3499787,6398267.3499787,16.9593405005386,132
2022,SERVICE_1032,969055.0,745984.0,6569606.35000012,6569584.37000013,6.77939471959809,133
2022,SERVICE_1033,113181.0,47167.0,12945579.2300196,10095890.2999377,114.37943851017,134
2022,SERVICE_1034,71644.0,14461.0,6161856.2699986,4734321.1399991,86.0065918988136,135
2022,SERVICE_1035,98694.0,88364.0,5637707.75999894,4230906.62000057,57.123105355938,136
2022,SERVICE_1036,214252.7,168332.0,6262132.94000096,4574568.91999916,29.2277900815297,137
2022,SERVICE_1037,26993.0,26323.0,6440253.29999933,5006519.57999571,238.589756603539,138
2022,SERVICE_1038,20176.0,15831.0,6122040.90000299,4870298.47000295,303.431844766207,139
2022,SERVICE_1039,19034730.8,229824.0,6270807.67002357,4936270.1599836,0.329440312863451,140
2022,SERVICE_104,76354.0,30917.0,167738918.37002,133736655.590024,2196.85829648768,141
2022,SERVICE_1040,168686.0,79813.0,5845592.86999175,5845592.86999175,34.653693074658,142
2022,SERVICE_1041,42918.0,23237.0,6590000.4499974,5038170.61000681,153.548638100503,143
2022,SERVICE_1042,218437.0,212185.0,5921858.09999937,4541921.57000074,27.1101420546857,144
2022,SERVICE_1043,159755.0,127987.0,6533390.95999932,5062679.53000004,40.896315983846,145
2022,SERVICE_1044,76416.0,26007.0,6176522.03000112,4767054.15999941,80.8276019420163,146
2022,SERVICE_1045,40688920.0,274338.0,5777673.06001364,4577588.16002248,0.14199622550841,147
2022,SERVICE_1046,35672.0,35080.0,5779944.45000324,4469770.34000261,162.030288461629,148
2022,SERVICE_1047,9367.0,6272.0,7776227.96996562,7776227.96996562,830.17273086,149
2022,SERVICE_1048,7245.0,7228.0,5948915.76000037,4723712.67000153,821.106385093219,150
2022,SERVICE_1049,9619.0,9603.0,6061988.89999797,4817877.86999908,630.209886682396,151
2022,SERVICE_105,14408679.2,18582.0,135405240.60002,107565003.430037,9.39747763972842,152
2022,SERVICE_1050,370434.0,370434.0,6582956.92998409,6582938.8799841,17.7709306650688,153
2022,SERVICE_1051,219475.0,160949.0,6077790.93999802,4470920.77000325,27.692406606666,154
2022,SERVICE_1052,3688.0,2255.0,6401284.32000099,5082720.84000466,1735.70616052088,155
2022,SERVICE_1053,419771.0,355085.0,6020316.70998872,6020316.70998872,14.3419071588764,156
2022,SERVICE_1054,62821.0,61264.0,6627484.81000167,5229829.05999912,105.497919644731,157
2022,SERVICE_1055,4843.0,4784.0,6189922.01001473,4942352.09999759,1278.1172847439,158
2022,SERVICE_1057,3101749.0,13.0,6564909.05990085,5237903.45991942,2.1165184739,159
2022,SERVICE_1058,76150.0,33638.0,6333660.52000989,4992420.38999886,83.1734802365054,160
2022,SERVICE_1059,107479.0,106636.0,5988681.53999948,4554421.2000002,55.719550237716,161
2022,SERVICE_106,899833.0,286613.0,172708483.639975,137182511.900024,191.933929562457,162
2022,SERVICE_1060,10765.0,10735.0,4768745.2900045,4768745.2900045,442.986092894055,163
2022,SERVICE_1061,538050.0,55291.0,6422272.04999611,4994207.39000204,11.93619933091,164
2022,SERVICE_1062,36238.0,35237.0,5528600.87999625,4390540.92000015,152.563631546891,165
2022,SERVICE_1063,1986668.5,20891.0,7502311.6399979,5929028.85998718,3.77632787754872,166
2022,SERVICE_1064,34919.0,1219.0,5918694.32000319,4715167.27000141,169.49781837977,167
2022,SERVICE_1065,4231.0,3859.0,7145908.24999073,5698941.58999521,1688.94073504862,168
2022,SERVICE_1066,584693.0,233241.0,6230203.21000401,4533053.0399989,10.6555118840212,169
2022,SERVICE_1067,41900.0,36801.0,6301790.49999584,4917938.70999172,150.400727923528,170
2022,SERVICE_1068,215199.0,211225.0,5537861.59999979,4307987.22000081,25.7336772011013,171
2022,SERVICE_1069,33178.0,3117.0,3820562.63996609,3022761.02000072,115.153494483275,172
2022,SERVICE_107,1744985.0,1514169.0,175907418.949949,138829677.839972,100.807410350203,173
2022,SERVICE_1070,2069.0,2066.0,4330735.12999012,3451343.85998043,2093.15376026589,174
2022,SERVICE_1071,174341.0,122046.0,6139289.81999531,4736784.29000428,35.2142629673761,175
2022,SERVICE_1072,129872.0,85089.0,6332645.6899997,4619321.21999933,48.7606696593546,176
2022,SERVICE_1073,591695.0,443654.0,6123627.08999432,6123610.28999428,10.3492966646572,177
2022,SERVICE_1074,8555.0,4463.0,5238509.8100002,4167542.33000055,612.333116306277,178
2022,SERVICE_1075,9477.0,1676.0,4965955.92000613,3956950.46999952,524.000835708149,179
2022,SERVICE_1076,128487.0,104957.0,5763626.78000183,4320820.85000196,44.8576648221364,180
2022,SERVICE_1077,215.0,215.0,175901.72999965,175901.72999965,818.147581393721,181
2022,SERVICE_1078,6279.0,6255.0,5324580.07999736,4214970.26999698,847.998101608116,182
2022,SERVICE_1079,68753.0,33927.0,6199143.27999698,4636699.26000477,90.1654223088007,183
2022,SERVICE_108,820214.0,698668.0,172393941.380002,129943456.720024,210.181661590758,184
2022,SERVICE_1080,12717.0,11876.0,3215738.8599772,3215738.8599772,252.869297788566,185
2022,SERVICE_1081,6193.0,3789.0,7013748.68001076,5598406.35999776,1132.52844824976,186
2022,SERVICE_1082,10299.0,9230.0,5852413.21999507,4631663.76999302,568.250628215853,187
2022,SERVICE_1083,142821.0,105574.0,6096156.66000112,4421822.66999976,42.6838956456062,188
2022,SERVICE_1084,25420.0,24126.0,5893733.23000057,4506085.74000192,231.854178992941,189
2022,SERVICE_1085,23840.0,23667.0,5303151.69999773,4192156.69999697,222.447638422723,190
2022,SERVICE_1086,6588.0,6522.0,5595146.53000204,4456310.78000049,849.293644505471,191
2022,SERVICE_1087,74870.0,25781.0,6444039.84999835,5122405.59999947,86.0697188459777,192
2022,SERVICE_1088,168334.0,128992.0,5680023.04999815,4289340.23999993,33.7425775541373,193
2022,SERVICE_109,1345554.0,1298272.0,168153583.909986,127270941.830009,124.969777437387,194
2022,SERVICE_1090,38983.0,37881.0,5963653.84999759,4611154.00999911,152.980885257615,195
2022,SERVICE_1091,2045776.0,15661.0,5712032.06000397,4439553.84000137,2.79211021148159,196
2022,SERVICE_1092,45358.0,44548.0,5640536.31999113,4486212.49999889,124.355931037328,197
2022,SERVICE_1093,28720.0,545.0,11573893.849979,9255422.53998264,402.990732937988,198
2022,SERVICE_1094,18992.0,18816.0,5207265.6600008,4142020.68000087,274.182058761626,199
2022,SERVICE_1095,4493.0,4473.0,5676234.54999351,4526096.80999972,1263.35066770387,200
2022,SERVICE_1096,1191638.0,837118.0,5922873.70999736,5922873.70999736,4.97036323950508,201
2022,SERVICE_1097,22286.0,19560.0,5114196.38999938,3986887.94000161,229.480229291904,202
2022,SERVICE_1098,40907.0,39339.0,5497006.65000048,4084763.39000096,134.378141882819,203
2022,SERVICE_1099,12752606.0,15263.0,11359626.7499547,9067681.94005728,0.890769051435814,204
2022,SERVICE_110,96781.0,95905.0,125689047.259732,100087014.669824,1298.6954801018,205
2022,SERVICE_1100,176066.0,150339.0,6090191.22999425,6090191.22999425,34.5903878658812,206
2022,SERVICE_1101,27135.0,22229.0,4767361.88004547,3548328.3299111,175.690505990251,207
2022,SERVICE_1102,432277.0,329231.0,5519089.61001517,5519068.89001491,12.7674838356312,208
2022,SERVICE_1103,2133076.0,1348430.0,5677017.82999841,5677017.82999841,2.66142314197826,209
2022,SERVICE_1104,5849893.0,37.0,7449843.25000563,5945723.21995012,1.27350077172448,210
2022,SERVICE_1105,490356.0,246740.0,6013595.60000111,6013593.08000111,12.2637341033884,211
2022,SERVICE_1106,79539.0,72320.0,6211158.55000628,4569807.06000149,78.08947246013,212
2022,SERVICE_1107,18693.0,18662.0,5744730.37999794,4593408.13999928,307.319872679503,213
2022,SERVICE_1108,3672.0,2406.0,5805183.7700071,4622601.5899973,1580.93239923941,214
2022,SERVICE_1109,467015.0,183738.0,5518480.2999853,5518480.2999853,11.8164947592375,215
2022,SERVICE_111,2080436.0,1864470.0,160854085.369998,134557210.930008,77.317487954447,216
2022,SERVICE_1110,33334.0,28801.0,6252669.58999369,4949448.05000448,187.576336173087,217
2022,SERVICE_1111,37131.0,30923.0,5580246.74000033,4411395.77999984,150.285387950778,218
2022,SERVICE_1112,692434.5,1630.0,5419274.43000017,4302756.22999495,7.82640730639529,219
2022,SERVICE_1113,45364.0,44123.0,6438837.54000253,5111457.14000072,141.937164712162,220
2022,SERVICE_1114,26503.0,25690.0,5544064.01999831,4254297.41000049,209.186281552968,221
2022,SERVICE_1115,6604.0,484.0,5647332.19000713,4501048.76000605,855.138126893872,222
2022,SERVICE_1116,158461.0,123360.0,5331878.29999742,5331878.29999742,33.6478900170857,223
2022,SERVICE_1117,4651.0,3909.0,5349174.86000847,4251411.82998889,1150.11284885153,224
2022,SERVICE_1118,151173.0,110244.0,5217265.61001384,5217265.61001384,34.5118877710559,225
2022,SERVICE_1119,258724.0,20524.0,5803575.78999249,4454472.94000156,22.4315324051595,226
2022,SERVICE_112,3845337.0,1680053.0,145089312.010008,114583619.789989,37.7312344821815,227
